,COMMENTS
213,Jackson Lee 何勇陞
214,Wei En
215,Angel Loh
216,Yes boss
217,这个就是提醒你不要一个人走黑黑又偏僻的地方～ 一定要找人陪
218,мs. Vinky
219,Jaffery Sia Mary Hii
220,Soo Ilya 可怜
221,Ivana 你还活着吗
222,Ivana 还好还在
223,Addy Ling 😡
224,Mary YipYee Wah
225,施佑穎
226,警察行為是幫兇
227,一點都不像警察
228,一句惡作劇推卸自己無能
229,Tommy Hii
230,Albee Bao Beii gg
231,这社会病了
232,"一命底一命,杀手很便宜...台湾法律是全世界公认烂的,你杀了我国人民就等吃花生呗..到时谁也救不了你."
233,小比
234,Candy Chan
235,Bryan Kean ya 老師有傳在群組
236,Vanessa Lim 长荣大学😓😓
237,Vanessa Lim 是不是之前你们去的大学？
238,Bobo Goh 嗯咯 昨天看到了
239,嘉豪Wen JieHanson Chan
240,曾经的补习班后座的同学
241,俐妏
242,GA Nicholas Toh
243,谢尹榮
244,Orrange Wong
245,Lucas Lee
246,😥
247,台灣安全？詐騙no.1殺人犯天堂
248,Chen Chee Kok
249,Anselm Wong
250,Yiong Ng
251,台灣最不安全
252,Chow Ker Lly
253,Lina SiewCatherine Chan..
254,一切都是爛法官
255,真的抓去剪掉了！😡
256,Pei Ping Wong Jie Jie Ee
257,禽獸不如
258,悲哀台灣治安有夠丟臉
259,#
260,拜託不要廢死!!!
261,江米修
262,Peggy Pang
263,Peggy Pang 报啥仇？哈哈哈
264,Anita Wong 你是不是在报仇？
265,JeffeRy Lim 喔吼 去看呗老人家
266,Anita Wong 看新闻
267,你咋跑这来了
268,Anita Wong 🥶🥶🥶
269,楊季佳
270,許申燁
271,官渣治國 日常 日常
272,不配當人！給他死！
273,蔡政府的廢死政策，間接造成這一個遺憾的事情
274,恐龍法官 可教化
275,對不起我們法官不判死，那些人渣根本不怕
276,你们的司法太令人失望了，我同乡欸！！！！就这样没了
277,太可怕了😱😱😱
278,死變態
279,變態處死刑
280,誇張..
281,支持死刑
282,判死刑，證明台灣是安全的
283,判死刑 +1
284,台灣？ 哈哈哈
285,台灣人該起來了，如果司法無法給予正確的制裁，就讓你們人民給予司法正確的制裁
286,JC Low 人权作祟
287,法官：精神異常無罪
288,Shiu TyngJia 我兒子很乖他一定是被毒品帶壞的
289,吸毒後殺人，無罪
290,我猜到了
