,COMMENTS
185,Jocelyn Hoy 改他妈cb🙄 改了等下出来又做多一次🙄 这样小灯泡的牺牲就是白牺牲，而且小灯泡的离世已经警告着他们政府应该严重处理这些罪犯，而且台湾死刑可以以麻醉自己身体才枪毙。。哇，死的好舒服😡那些被无辜砍死的人，是活生生死的。怎么对这些罪犯那么仁慈呀🤔
186,金帛日月 还没死，还在讨论他可不可以被改教
187,以命抵命，公道
188,"近几年，台湾政治意识形态抬头，政客毫无底线，丧心病狂，荼毒下一代，社会道德沦丧，风气败坏，台媒毫无职业操守，抹黑，造假，夸大，搬弄是非，煽风点火，司法不章，光怪陆离，不知所谓，教育素质因为少子化每况愈下，结果大量在东南亚找学生。大马的父母们，你们真的放心让你们的洁洁白白孩子去一个这样的地方被荼毒吗？回来后，怨天尤人，抱怨社会不公，不满政治体制，整天自由人权挂在嘴边然而自己却像一堆烂泥，对社会毫无贡献。只要立场不同，尤其是政治立场，他们就会对你进行攻击,父母也不例外！！！"
189,Jasmine Kiu SY看台湾📺节目就能略窥一二这是什么一个国度了
190,我看阿姨你要失望了，台湾人权没有死刑
191,Chris Lim 人权大的地方很难有死刑。
192,綠色黨hello出來說話了咯！出來給個交代了咯！！不要整天只會對對岸犬！一命填一命！！
193,放心，在台湾杀人不会死刑的。如果要练胆就去台湾训练
194,Simon Teng 你去囉，快去試試看
195,肉不在你身上割，你不知道有多痛，毁了大好前途，毁了幸福的天伦之乐，支持一命填一命！
196,台湾的法官有点🤕🥴🤯
197,🦖 法官～
198,Thomas Ooi Chun Hau 这他们台湾人自己也觉得法官都很……xx...
199,Hope  China  will  take  back  Taiwan  quickly and  restore Taiwan  to its former glory.  I  wouldn't  visit Taiwan  at all after  feeling  the two  weeks  backpacking  whole  island  few  weeks  ago  was  a  waste  of  time.   👎 memories  of  the  tourism and  eateries  and  people  generally .
200,"Tak boleh bagi taiwan ambil oleh China terus lah. Selepas taiwan ditawan, ancaman seterusnya ialah laut dekat sabah sarawak....."
201,"I visited  Taiwan  for  five  times  spread  over  the  different  ages  of  my years  and  there is  nothing  overwhelming  for  me.  But China  keeps  surprising me  with  the  preservation  of  culture,  traditions  and  upgrading  of  tourism  and  infrastructure.  Conservation  for  greeneries  and  reduce damage  to  the  environment  is  amazing 👏."
202,"Saw Kim Hong focus more on Taiwan's beauty parts,  Their native culture still well preserved"
203,一命償一命，不可能，台湾是罪犯的天堂。
204,"恐龙法官到时说,男被告因为精虫上脑,所以无罪"
205,王 育丰 那些精神专家也不要再帮犯人做精神疾病报告了…😔
206,Belinda Lim 台灣法官真的沒有一個有用的，各個都是可教改==
207,Sehmeng Ng 已经开始有精神辨定专家，说他偷女性内衣裤有涉及精神问题了……
208,Sehmeng Ng 犯人是有阴谋的不小心杀人，无罪释放。
209,废除死刑 绝对是不公平 难道马来西亚也要学他 很多 废除死刑的国家 现在回复 死刑制度了 因为太多冤案 而且 监狱 再 起多 几个月不够养这种非人
210,CW Stone 马来西亚说要废除死刑的那个部长也去世了
211,AU Yang 哈哈也许你说的对 拉
212,Cy Tan 司法局说！死刑一次过，废死可以慢慢打官司，法官有工做，律师有钱赚，一举两得。
213,CW Stone 台湾没有正式废除死刑，只是他们恐龙法官配合政府几乎已经没有判决死刑而已
214,台湾法律对判死刑很慈悲！只会让受害家属伤口撒盐
215,Liew Wui Chung 台湾的是圣母法律
216,遇过无礼取闹的台湾男人，对台湾人没好感 ！
217,台弯是需要中国来管理，不然就没求了，还回去中国吧
218,Xiiao Feng 他应该是以为自己是台湾人的马来西亚人
219,Dennis Liew 你是台湾人？
220,学校为了自保名誉和推卸责任，他们那里肯把事情公开闹大了！谁还会去那间学校读书？
221,恐龍法官：嫌犯施暴被害者假如不用力掙脫不可造成此等事故，嫌犯可教化，結案😏
222,呆丸法官都中了阴蚊毒神智不清犯罪都免罚可敎化成好人
223,人神共愤😡😡
224,压力大，有精神或神经病，不知道自己在做什么？鬼才知道😡😡😡
225,朱金龙 虽然荒谬但的确有可能这样判的。
226,朱金龙 很有可能
227,好去不去，去台弯读书！还不如在大马读！
228,Winnie Lim 分別是風險高低
229,原溱刘 对 ，那里都是有這種事情
230,那里都有這種事情，不是讲台灣而已
231,Eric Ling 那你就回去你的人民共和國吧，要鬧的話不要在這裡鬧!
232,Steven Zhen 中国要攻打你的台弯了！
233,Eric Ling 不要問敏感話題謝謝
234,Eric Ling 他是一個省可是你問的問題毫無關係
